Tempo,DaystoTop,Valence1,Highest_Charting_Position,Number_of_Times_Charted,Release_Date,Song_Name,Popularity,Song_ID,Genre,Acousticness,Valence,Chord,EndHighWeek,HighestPos
95.692,231 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.799,462 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.881,162 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.906,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.927,1463 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.927,1512 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.939,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.939,8 days,3,1,1,1,1,1,1,1,1,1,1,1,1
95.971,63 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.975,4553 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.977,1036 days,3,1,1,1,1,1,1,1,1,1,1,1,1
95.998,56 days,1,1,1,1,1,1,1,1,1,1,1,1,1
96.029,21 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.103,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
96.133,623 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.172,20 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.459,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
96.493,58 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.838,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
96.852,20 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.855,14 days,1,1,1,1,1,1,1,1,1,1,1,1,1
96.966,35 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.988,57 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.988,76 days,2,1,1,1,1,1,1,1,1,1,1,1,1
96.989,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
97.002,78 days,3,1,1,1,1,1,1,1,1,1,1,1,1
97.008,224 days,0,1,1,1,1,1,1,1,1,1,1,1,1
97.014,41 days,1,1,1,1,1,1,1,1,1,1,1,1,1
97.018,80 days,3,1,1,1,1,1,1,1,1,1,1,1,1
97.02,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
97.041,58 days,3,1,1,1,1,1,1,1,1,1,1,1,1
97.054,182 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.097,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.672,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.753,206 days,1,1,1,1,1,1,1,1,1,1,1,1,1
97.767,11 days,0,1,1,1,1,1,1,1,1,1,1,1,1
97.956,70 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.96,7 days,3,1,1,1,1,1,1,1,1,1,1,1,1
