Pop,DaystoTop,Valence5,Highest_Charting_Position,Number_of_Times_Charted,Release_Date,Song_Name,Song_ID,Genre,Acousticness,Tempo,Valence,Chord,EndHighWeek,HighestPos,Valence1,Valence2,Valence3,Valence4
3,70 days,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,70 days,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,70 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,72 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,72 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,73 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,74 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,76 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,76 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,77 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,77 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,77 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,77 days,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,77 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,78 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,78 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,78 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,79 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,79 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,80 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,83 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,84 days,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,84 days,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,84 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
