Pop,DaystoTop,Valence,Highest_Charting_Position,Number_of_Times_Charted,HighestPos
3,11 days,0.769,68,8,1
3,11 days,0.804,74,5,1
3,11 days,0.866,63,6,1
3,11 days,0.867,66,10,1
3,12 days,0.382,197,1,1
3,13 days,0.556,194,11,2
3,13 days,0.582,128,2,1
3,13 days,0.761,5,21,0
3,13 days,0.824,7,19,0
3,14 days,0.149,132,1,1
3,14 days,0.284,109,9,1
3,14 days,0.34,55,4,1
3,14 days,0.35,79,13,1
3,14 days,0.425,157,1,1
3,14 days,0.452,22,32,1
3,14 days,0.585,127,2,1
3,14 days,0.634,56,4,1
3,14 days,0.635,112,10,1
3,14 days,0.656,92,10,1
3,14 days,0.703,94,1,1
3,14 days,0.732,137,1,1
3,14 days,0.736,120,7,1
3,14 days,0.78,139,8,1
3,14 days,0.797,128,2,1
3,14 days,0.818,112,3,1
3,14 days,0.865,194,2,1
3,14 days,0.878,139,1,1
3,15 days,0.346,37,14,1
3,15 days,0.396,76,8,1
3,15 days,0.553,49,12,1
3,18 days,0.582,72,4,1
3,20 days,0.19,196,1,1
3,20 days,0.685,9,39,0
3,21 days,0.143,7,15,0
3,21 days,0.173,20,15,0
3,21 days,0.27,68,24,1
3,21 days,0.303,46,19,1
3,21 days,0.325,82,8,1
3,21 days,0.429,114,5,1
3,21 days,0.43,177,2,1
3,21 days,0.505,6,23,0
3,21 days,0.606,105,1,1
3,21 days,0.631,113,2,1
3,21 days,0.745,25,9,1
3,21 days,0.855,32,25,1
3,21 days,0.926,192,1,1
3,22 days,0.522,106,5,1
3,22 days,0.532,99,2,1
3,22 days,0.822,199,1,1
3,22 days,0.921,151,7,1
3,23 days,0.761,115,9,1
3,25 days,0.608,40,9,1
3,25 days,0.775,47,15,1
3,26 days,0.745,162,4,1
3,27 days,0.383,187,1,1
3,28 days,0.0927,5,31,0
3,28 days,0.359,58,10,1
3,28 days,0.474,103,4,1
3,28 days,0.49,19,9,0
3,28 days,0.694,105,6,1
3,28 days,0.697,81,16,1
3,28 days,0.7,99,5,1
3,28 days,0.721,139,9,1
3,28 days,0.802,119,11,1
3,28 days,0.835,163,40,2
3,28 days,0.91,5,19,0
3,29 days,0.296,32,10,1
3,29 days,0.823,29,32,1
3,30 days,0.835,15,24,0
3,30 days,0.907,121,7,1
3,30 days,0.919,44,20,1
3,32 days,0.62,85,12,1
3,34 days,0.805,89,9,1
3,35 days,0.306,7,16,0
3,35 days,0.351,152,13,1
3,35 days,0.374,107,2,1
3,35 days,0.383,15,24,0
3,35 days,0.522,60,17,1
3,35 days,0.635,53,5,1
3,35 days,0.678,117,1,1
3,35 days,0.837,2,46,0
3,35 days,0.874,5,53,0
3,35 days,0.933,190,1,1
3,36 days,0.246,181,4,1
3,36 days,0.503,21,35,1
3,36 days,0.608,174,4,1
3,36 days,0.645,50,22,1
3,39 days,0.95,25,26,1
3,41 days,0.453,18,34,0
3,41 days,0.836,71,13,1
3,42 days,0.271,85,2,1
3,42 days,0.273,23,20,1
3,42 days,0.386,158,5,1
3,42 days,0.408,182,2,1
3,42 days,0.456,176,3,1
3,42 days,0.479,67,2,1
3,42 days,0.515,111,11,1
3,42 days,0.574,176,1,1
3,42 days,0.601,174,2,1
3,42 days,0.72,37,25,1
3,42 days,0.735,83,11,1
3,42 days,0.898,189,1,1
3,42 days,0.924,155,4,1
3,42 days,0.962,113,7,1
3,43 days,0.388,145,7,1
3,44 days,0.605,156,1,1
3,44 days,0.965,45,18,1
3,45 days,0.411,144,4,1
3,46 days,0.431,164,11,1
3,46 days,0.707,103,4,1
3,49 days,0.0395,66,2,1
3,49 days,0.0763,140,1,1
3,49 days,0.415,8,5,0
3,49 days,0.523,169,2,1
3,49 days,0.587,140,5,1
3,49 days,0.608,80,18,1
3,49 days,0.613,177,3,1
3,49 days,0.68,16,20,0
3,49 days,0.806,126,9,1
3,49 days,0.835,15,32,0
3,49 days,0.962,197,1,1
3,51 days,0.422,199,1,1
3,55 days,0.609,2,52,0
3,56 days,0.245,49,23,1
3,56 days,0.274,102,3,1
